,game_id,game_date,season,OT,H_A,Team_Abbrev,Team_Score,Team_pace,Team_efg_pct,Team_tov_pct,Team_orb_pct,Team_ft_rate,Team_off_rtg,Inactives,Opponent_pace,Opponent_efg_pct,Opponent_tov_pct,Opponent_orb_pct,Opponent_ft_rate,Opponent_off_rtg,Win,fg,fga,fg2a,fg2,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,fg2_pct,ft_pct,fg3_pct,fg_pct,ast_ratio
0,201910220LAC,2019-10-22,2019-2020,0,A,LAL,102,95.3,0.512,12.9,20.9,0.176,107.0,"DeMarcus Cousins, Talen Horton-Tucker, Kyle Kuzma, Rajon Rondo",95.3,0.586,13.3,25.6,0.21,117.5,0,37,85,52,24,13,33,15,21,9,32,41,20,4,7,14,24,0.46153846153846156,0.7142857142857143,0.3939393939393939,0.43529411764705883,15.595757953836555
1,201910220LAC,2019-10-22,2019-2020,0,H,LAC,112,95.3,0.586,13.3,25.6,0.21,117.5,"Amir Coffey, Paul George, Rodney McGruder, Derrick Walton",95.3,0.512,12.9,20.9,0.176,107.0,1,42,81,50,31,11,31,17,24,11,34,45,24,8,5,14,25,0.62,0.7083333333333334,0.3548387096774194,0.5185185185185185,18.524235875270143
2,201910220TOR,2019-10-22,2019-2020,1,A,NOP,122,102.2,0.515,14.6,28.1,0.167,108.1,"Zylan Cheatham, Josh Gray, Darius Miller, Zion Williamson",102.2,0.476,11.8,30.2,0.311,115.2,0,43,102,57,24,19,45,17,20,16,37,53,30,4,9,19,34,0.42105263157894735,0.85,0.4222222222222222,0.4215686274509804,18.773466833541924
3,201910220TOR,2019-10-22,2019-2020,1,H,TOR,130,102.2,0.476,11.8,30.2,0.311,115.2,"Oshae Brissett, Rondae Hollis-Jefferson, Patrick McCaw",102.2,0.515,14.6,28.1,0.167,108.1,1,42,103,63,28,14,40,32,38,16,41,57,23,7,3,16,24,0.4444444444444444,0.8421052631578947,0.35,0.4077669902912621,14.490927419354838
4,201910230BRK,2019-10-23,2019-2020,1,A,MIN,127,105.2,0.486,9.8,24.0,0.204,109.3,"Keita Bates-Diop, Jordan McLaughlin, Jaylen Nowell, Naz Reid",105.2,0.55,12.5,20.0,0.149,108.5,1,46,108,65,33,13,43,22,28,12,40,52,23,9,4,13,22,0.5076923076923077,0.7857142857142857,0.3023255813953488,0.42592592592592593,14.713408393039918
5,201910230BRK,2019-10-23,2019-2020,1,H,BRK,126,105.2,0.55,12.5,20.0,0.149,108.5,"Nicolas Claxton, Kevin Durant, Henry Ellenson, Timothe Luwawu-Cabarrot",105.2,0.486,9.8,24.0,0.204,109.3,0,48,101,67,33,15,34,15,26,10,38,48,19,8,9,16,30,0.4925373134328358,0.5769230769230769,0.4411764705882353,0.4752475247524752,12.88659793814433
6,201910230CHO,2019-10-23,2019-2020,0,A,CHI,125,101.6,0.51,8.0,38.5,0.171,123.0,"Cristiano Felicio, Chandler Hutchison, Adam Mokoka, Max Strus",101.6,0.642,16.7,23.7,0.148,124.0,0,49,105,75,40,9,30,18,22,20,29,49,25,11,4,10,20,0.5333333333333333,0.8181818181818182,0.3,0.4666666666666667,16.702298236237304
7,201910230CHO,2019-10-23,2019-2020,0,H,CHO,126,101.6,0.642,16.7,23.7,0.148,124.0,"Robert Franks, Cody Martin, Jalen McDaniels, Kobi Simmons",101.6,0.51,8.0,38.5,0.171,123.0,1,45,88,44,22,23,44,13,16,9,32,41,28,3,4,19,18,0.5,0.8125,0.5227272727272727,0.5113636363636364,19.71275696986764
8,201910230DAL,2019-10-23,2019-2020,0,A,WAS,100,103.7,0.457,14.4,21.2,0.161,96.4,"Troy Brown, Ian Mahinmi, C.J. Miles, John Wall",103.7,0.533,17.3,12.2,0.355,104.2,0,37,93,52,26,11,41,15,18,11,36,47,26,6,3,17,32,0.5,0.8333333333333334,0.2682926829268293,0.3978494623655914,18.065591995553085
9,201910230DAL,2019-10-23,2019-2020,0,H,DAL,108,103.7,0.533,17.3,12.2,0.355,104.2,"Ryan Broekhoff, Antonius Cleveland, Dwight Powell, Josh Reaves",103.7,0.457,14.4,21.2,0.161,96.4,1,35,76,40,24,11,36,27,33,5,41,46,17,6,5,19,22,0.6,0.8181818181818182,0.3055555555555556,0.4605263157894737,13.43661081251976
10,201910230IND,2019-10-23,2019-2020,0,A,DET,119,100.2,0.596,16.3,27.8,0.333,118.8,"Jordan Bone, Sekou Doumbouya, Blake Griffin, Louis King",100.2,0.506,13.1,22.2,0.225,109.8,1,41,78,54,30,11,24,26,33,10,35,45,26,5,6,18,21,0.5555555555555556,0.7878787878787878,0.4583333333333333,0.5256410256410257,19.044828596542633
11,201910230IND,2019-10-23,2019-2020,0,H,IND,110,100.2,0.506,13.1,22.2,0.225,109.8,"Brian Bowen, Alize Johnson, Naz Mitrou-Long, Victor Oladipo",100.2,0.596,16.3,27.8,0.333,118.8,0,41,89,68,33,8,21,20,24,10,26,36,26,8,6,15,28,0.4852941176470588,0.8333333333333334,0.38095238095238093,0.4606741573033708,18.497438816163914
12,201910230MIA,2019-10-23,2019-2020,0,A,MEM,101,112.0,0.455,19.0,18.4,0.225,90.2,"Andre Iguodala, Josh Jackson, John Konchar, Yuta Watanabe",112.0,0.512,17.1,26.2,0.388,107.2,0,38,89,57,33,5,32,20,30,9,31,40,22,9,7,24,31,0.5789473684210527,0.6666666666666666,0.15625,0.42696629213483145,14.84480431848853
